cell_x_m,cell_y_m,count
211727.66401520075,1755565.5185298186,1
197727.66401520075,1780565.5185298186,1
209727.66401520075,1749565.5185298186,1
207727.66401520075,1750565.5185298186,1
197727.66401520075,1760565.5185298186,1
190727.66401520075,1761565.5185298186,1
190727.66401520075,1764565.5185298186,1
190727.66401520075,1762565.5185298186,1
212727.66401520075,1754565.5185298186,1
204727.66401520075,1744565.5185298186,1
190727.66401520075,1747565.5185298186,1
197727.66401520075,1745565.5185298186,1
211727.66401520075,1761565.5185298186,1
204727.66401520075,1762565.5185298186,1
204727.66401520075,1764565.5185298186,1
213727.66401520075,1786565.5185298186,1
204727.66401520075,1766565.5185298186,1
207727.66401520075,1759565.5185298186,1
189727.66401520075,1780565.5185298186,1
214727.66401520075,1743565.5185298186,1
193727.66401520075,1775565.5185298186,1
196727.66401520075,1774565.5185298186,1
196727.66401520075,1773565.5185298186,1
193727.66401520075,1776565.5185298186,1
189727.66401520075,1768565.5185298186,1
196727.66401520075,1762565.5185298186,1
214727.66401520075,1747565.5185298186,1
213727.66401520075,1784565.5185298186,1
